id	rate
29165	573
29167	159
29169	391
29171	0
29173	37
29175	236
29177	110
29179	81
29181	29
29183	1591
29185	65
29186	35
29187	357
29189	5305
29195	151
29197	28
29199	46
29201	149
29203	81
29205	41
29207	159
29209	60
29211	46
29213	83
29215	75
29217	146
29219	59
29221	137
29223	112
29225	200
29227	12
29229	58
29510	2810
30001	72
30003	68
30005	38
30007	129
30009	128
30011	3
30013	764
30015	43
30017	107
30019	4
30021	96
30023	43
30025	2
30027	65
30029	890
30031	2075
30033	9
30035	17
30037	1
30039	17
30041	135
30043	71
30045	4
30047	143
30049	900
30051	19
30053	181
30055	3
30057	83
30059	47
30061	7
30063	2775
30065	67
30067	237
30069	8
30071	29
30073	40
30075	20
30077	28
30079	8
30081	331
30083	48
30085	39
30087	84
30089	41
30091	14
30093	294
30095	117
30097	42
30099	28
30101	34
30103	3
30105	17
30107	16
30109	0
30111	1295
31001	110
31003	37
31005	3
31007	0
31009	0
31011	21
31013	62
31015	4
31017	0
31019	393
31021	6
31023	26
31025	185
31027	67
31029	35
31031	41
31033	48
31035	64
31037	92
31039	38
31041	96
31043	434
31045	113
31047	210
31049	18
31051	12
31053	191
31055	2627
31057	27
31059	36
31061	25
31063	28
31065	26
31067	70
31069	27
31071	42
31073	11
31075	5
31077	13
31079	333
31081	104
31083	29
31085	0
31087	34
31089	51
31091	4
31093	33
31095	48
31097	9
31099	41
31101	165
31103	3
31105	0
31107	14
31109	3035
31111	221
31113	2
31115	1
31117	0
31119	128
31121	34
31123	36
31125	27
31127	19
31129	5
31131	105
31133	25
31135	26
31137	68
31139	15
31141	153
31143	42
31145	56
31147	8
31149	4
31151	149
31153	793
31155	114
31157	224
31159	116
31161	21
31163	5
31165	5
31167	12
31169	4
31171	17
31173	38
31175	41
31177	66
31179	76
31181	34
31183	1
31185	155
32001	137
32003	17297
32005	411
32007	327
32009	50
32011	8
32013	89
32015	37
32017	9
32019	373
32021	62
32023	232
32027	0
32029	0
32031	4979
32033	109
32510	557
33001	237
33003	409
33005	454
33007	241
33009	1186
33011	1814
33013	1157
33015	1738
33017	553
33019	402
34001	2223
34003	6543
34005	2322
34007	2828
34009	1291
34011	1481
34013	6768
34015	1486
34017	4287
34019	560
34021	4194
34023	6552
34025	5009
34027	2665
34029	3120
34031	7725
34033	215
34035	2419
34037	941
34039	16879
34041	350
35001	7129
35003	9
35005	380
35006	19
35007	113
35009	328
35011	25
35013	1390
35015	312
35017	73
35019	0
35021	1
35023	6
35025	450
35027	44
35028	290
35029	167
35031	326
35033	134
35035	337
35037	52
35039	261
35041	150
35043	1114
35045	480
35047	153
35049	1730
35051	18
35053	192
35055	238
35057	45
35059	41
35061	458
36001	2235
36003	370
36005	8670
36007	1245
36009	484
36011	323
36013	1071
36015	554
36017	212
36019	1161
36021	252
36023	292
36025	166
36027	1432
36029	6143
36031	624
36033	315
36035	306
36037	501
36039	840
36041	30
36043	266
36045	766
36047	23903
36049	90
36051	314
36053	375
36055	4343
36057	477
36059	6846
36061	41144
36063	867
36065	1086
36067	2792
36069	565
36071	3299
36073	221
36075	595
36077	251
36079	487
36081	15223
36083	713
36085	1841
36087	2171
36089	869
36091	1163
36093	869
36095	242
36097	105
36099	193
36101	621
36103	8519
36105	334
36107	216
36109	854
36111	936
36113	465
36115	283
36117	338
36119	8468
36121	289
36123	300
37001	571
37003	50
37005	55
37007	41
37009	41
37011	72
37013	297
37015	91
37017	98
37019	630
37021	1427
37023	327
37025	682
37027	364
37029	28
37031	662
37033	75
37035	631
37037	555
37039	85
37041	187
37043	29
37045	252
37047	162
37049	907
37051	1863
37053	159
37055	423
37057	535
37059	99
37061	239
37063	2569
37065	334
37067	2561
37069	247
37071	630
37073	112
37075	0
37077	186
37079	89
37081	2643
37083	232
37085	557
37087	307
37089	417
37091	86
37093	431
37095	120
37097	812
37099	245
37101	1394
37103	72
37105	440
37107	217
37109	328
37111	138
37113	70
37115	17
37117	112
37119	4747
37121	30
37123	100
37125	507
37127	427
37129	2148
37131	73
37133	1608
37135	2170
37137	136
37139	530
37141	211
37143	253
37145	364
37147	1140
37149	29
37151	344
37153	50
37155	513
37157	202
37159	605
37161	216
37163	276
37165	109
37167	291
37169	226
37171	295
37173	7
37175	264
37177	3
37179	859
37181	143
37183	6621
37185	12
37187	91
37189	266
37191	439
37193	116
37195	633
37197	293
37199	58
38001	3
38003	72
38005	33
38007	6
